descrição,Série,período,valor,ano
4 ANO - INGLÊS 4,4º ANO,4,"81,42",2025
4 ANO - MATEMÁTICA E CIÊNCIAS 4,4º ANO,4,"316,2",2025
"4 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",4º ANO,4,"316,2",2025
KIT FABER CASTELL,4º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,4º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,4º ANO,3,200,2025
2 AO 5 ANO - DIÁRIO DO ALUNO 1,5º ANO,1,"82,03",2025
2 AO 5 ANO - DIÁRIO DO ALUNO 2,5º ANO,3,"82,03",2025
CO-FUND.3 AO 5 ANO - CADERNO PAUTADO,5º ANO,1,"43,86",2025
5 ANO - INGLÊS 1,5º ANO,1,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 1,5º ANO,1,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 1",5º ANO,1,"304,65",2025
5 ANO - CONHECENDO O BRASIL E O MUNDO POR MAPAS,5º ANO,anual,"92,41",2025
5 ANO - INGLÊS 2,5º ANO,2,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 2,5º ANO,2,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 2",5º ANO,2,"304,65",2025
5 ANO - INGLÊS 3,5º ANO,3,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 3,5º ANO,3,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 3",5º ANO,3,"304,65",2025
5 ANO - INGLÊS 4,5º ANO,4,"81,42",2025
5 ANO - MATEMÁTICA E CIÊNCIAS 4,5º ANO,4,"304,65",2025
"5 ANO - LÍNGUA PORTUGUÊSA, HISTÓRIA E GEOGRAFIA 4",5º ANO,4,"304,65",2025
KIT FABER CASTELL,5º ANO,anual,400,2025
JOVENS FOR SCHOOL - 1,5º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,5º ANO,3,200,2025
6 ANO - ARTES VISUAIS 1,6º ANO,2,"117,88",2025
6 ANO - ARTES VISUAIS 2,6º ANO,3,"117,87",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 1,6º ANO,1,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",6º ANO,1,"379,55",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 2,6º ANO,2,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",6º ANO,2,"379,55",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 3,6º ANO,3,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",6º ANO,3,"379,55",2025
6 ANO - PORTUGUÊS E MATEMÁTICA 4,6º ANO,4,"379,55",2025
"6 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",6º ANO,4,"379,55",2025
ESPANHOL,6º ANO,anual,"89,90",2025
REDAÇÃO 6 AO 9 - 1º TRI,6º ANO,1,"79,90",2025
REDAÇÃO 6 AO 9 - 2º TRI,6º ANO,2,"79,90",2025
REDAÇÃO 6 AO 9 - 3º TRI,6º ANO,3,"79,90",2025
JOVENS FOR SCHOOL - 1,6º ANO,1,"200,00",2025
JOVENS FOR SCHOOL - 2,6º ANO,3,"200,00",2025
KIT NAVE,6º ANO,anual,"450,00",2025
25 SEGUNDOS - SOCIOEMOCIONAL,6º ANO,anual,"100,00",2025
7 ANO - ARTES VISUAIS 1,7º ANO,2,"117,88",2025
7 ANO - ARTES VISUAIS 2,7º ANO,3,"117,87",2025
7 ANO - PORTUGUÊS E MATEMÁTICA 1,7º ANO,1,"379,55",2025
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",7º ANO,1,"379,55",2025
7 ANO - PORTUGUÊS E MATEMÁTICA 2,7º ANO,2,"379,55",2025
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",7º ANO,2,"379,55",2025
7 ANO - PORTUGUÊS E MATEMÁTICA 3,7º ANO,3,"379,55",2025
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",7º ANO,3,"379,55",2025
7 ANO - PORTUGUÊS E MATEMÁTICA 4,7º ANO,4,"379,55",2025
"7 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",7º ANO,4,"379,55",2025
FRANCÊS,7º ANO,anual,"89,9",2025
REDAÇÃO 6 AO 9 - 1º TRI,7º ANO,1,"79,9",2025
REDAÇÃO 6 AO 9 - 2º TRI,7º ANO,2,"79,9",2025
REDAÇÃO 6 AO 9 - 3º TRI,7º ANO,3,"79,9",2025
JOVENS FOR SCHOOL - 1,7º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,7º ANO,3,200,2025
KIT NAVE,7º ANO,anual,450,2025
25 SEGUNDOS - SOCIOEMOCIONAL,7º ANO,anual,100,2025
8 ANO - ARTES VISUAIS 1,8º ANO,2,"117,88",2025
8 ANO - ARTES VISUAIS 2,8º ANO,3,"117,87",2025
8 ANO - PORTUGUÊS E MATEMÁTICA 1,8º ANO,1,"379,55",2025
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",8º ANO,1,"379,55",2025
8 ANO - PORTUGUÊS E MATEMÁTICA 2,8º ANO,2,"379,55",2025
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",8º ANO,2,"379,55",2025
8 ANO - PORTUGUÊS E MATEMÁTICA 3,8º ANO,3,"379,55",2025
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",8º ANO,3,"379,55",2025
8 ANO - PORTUGUÊS E MATEMÁTICA 4,8º ANO,4,"379,55",2025
"8 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",8º ANO,4,"379,55",2025
ITALIANO,8º ANO,anual,"89,9",2025
REDAÇÃO 6 AO 9 - 1º TRI,8º ANO,1,"79,9",2025
REDAÇÃO 6 AO 9 - 2º TRI,8º ANO,2,"79,9",2025
REDAÇÃO 6 AO 9 - 3º TRI,8º ANO,3,"79,9",2025
JOVENS FOR SCHOOL - 1,8º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,8º ANO,3,200,2025
KIT NAVE,8º ANO,anual,450,2025
25 SEGUNDOS - SOCIOEMOCIONAL,8º ANO,anual],100,2025
9 ANO - ARTES VISUAIS 1,9º ANO,2,"117,90",2025
9 ANO - ARTES VISUAIS 2,9º ANO,3,"117,89",2025
9 ANO - PORTUGUÊS E MATEMÁTICA 1,9º ANO,1,"360,82",2025
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 1",9º ANO,1,"360,82",2025
9 ANO - PORTUGUÊS E MATEMÁTICA 2,9º ANO,2,"360,82",2025
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 2",9º ANO,2,"360,82",2025
9 ANO - PORTUGUÊS E MATEMÁTICA 3,9º ANO,3,"360,82",2025
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 3",9º ANO,3,"360,82",2025
9 ANO - PORTUGUÊS E MATEMÁTICA 4,9º ANO,4,"360,82",2025
"9 ANO - INGLÊS, HISTÓRIA, CIÊNCIAS E GEOGRAFIA 4",9º ANO,4,"360,82",2025
MANDARIM 1º TRI,9º ANO,1,"79,9",2025
MANDARIM 2º TRI,9º ANO,2,"79,9",2025
MANDARIM 3º TRI,9º ANO,3,"79,9",2025
REDAÇÃO 6 AO 9 - 1º TRI,9º ANO,1,"79,9",2025
REDAÇÃO 6 AO 9 - 2º TRI,9º ANO,2,"79,9",2025
REDAÇÃO 6 AO 9 - 3º TRI,9º ANO,3,"79,9",2025
JOVENS FOR SCHOOL - 1,9º ANO,1,200,2025
JOVENS FOR SCHOOL - 2,9º ANO,3,200,2025
KIT NAVE,9º ANO,anual,450,2025
25 SEGUNDOS - SOCIOEMOCIONAL,9º ANO,anual,100,2025
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 1,1º EM,1,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 1,1º EM,1,"251,65",2025
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 1,1º EM,1,"251,65",2025
